"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"46537",1,10,1940,0,147.938456395543,0.137444541661082,0
"46538",0.95,10,1940,0.05,102.738187511445,0.204403060913067,0
"46539",0.9,10,1940,0.1,97.8887535853381,0.190692658584046,0
"46541",0.8,10,1940,0.2,93.9919423000578,0.184412971039621,0
"46542",0.75,10,1940,0.25,94.2634877273156,0.173273170024766,0
"46543",0.7,10,1940,0.3,102.376297001828,0.166054062298073,0
"46545",1,30,1940,0,91.6529860320844,0.243672730155424,0
"46546",0.95,30,1940,0.05,124.11604683951,0.150396883739981,0
"46552",0.65,30,1940,0.35,95.7728784963724,0.229710126137989,0
"46553",1,75,1940,0,103.801507836416,0.211942971335931,0
"46554",0.95,75,1940,0.05,119.601490843945,0.153286829486828,0
"46556",0.85,75,1940,0.15,120.346992570582,0.180034965636508,0
"46560",0.65,75,1940,0.35,94.2634877628988,0.173273169930891,0
"46561",1,10,1941,0,110.822291809774,0.159414377568776,0
"46562",0.95,10,1941,0.05,88.0673598257677,0.230883875405836,0
"46565",0.8,10,1941,0.2,72.8737450576669,0.210409569630831,0
"46570",0.95,30,1941,0.05,133.19705620552,0.162666257694249,0
"46571",0.9,30,1941,0.1,66.0515594135453,0.257374695630837,0
"46573",0.8,30,1941,0.2,90.7753482435912,0.198291720703147,0
"46574",0.75,30,1941,0.25,80.6048319013789,0.210905470540522,0
"46578",0.95,75,1941,0.05,74.4742549587184,0.241694260788208,0
"46580",0.85,75,1941,0.15,128.713909497695,0.147614193945142,0
"46581",0.8,75,1941,0.2,87.3185676279979,0.202324283901813,0
"46584",0.65,75,1941,0.35,128.713909498265,0.147614193944253,0
"46585",1,10,1942,0,91.6510741015756,0.207307990546892,0
"46586",0.95,10,1942,0.05,95.0261067810582,0.203452861446977,0
"46594",0.95,30,1942,0.05,77.5038541173172,0.275255128623436,0
"46595",0.9,30,1942,0.1,61.8782946209217,0.215476742132983,0
"46596",0.85,30,1942,0.15,90.2871947676635,0.1882880517591,0
"46597",0.8,30,1942,0.2,117.775107486316,0.164154665162333,0
"46598",0.75,30,1942,0.25,101.957835674197,0.196159518959483,0
"46600",0.65,30,1942,0.35,94.2634877640536,0.173273169928983,0
"46602",0.95,75,1942,0.05,94.5437451680812,0.239747924374791,0
"46603",0.9,75,1942,0.1,147.417368206511,0.169586530434993,0
"46604",0.85,75,1942,0.15,133.197056230131,0.162666257652071,0
"46605",0.8,75,1942,0.2,143.007352543543,0.139852949126631,0
"46606",0.75,75,1942,0.25,143.007352543677,0.139852949126456,0
"46608",0.65,75,1942,0.35,133.395080385636,0.144932881163548,0
"46609",1,10,1943,0,83.9283968658494,0.206525252246136,0
"46610",0.95,10,1943,0.05,79.0373325058208,0.189783732890794,0
"46611",0.9,10,1943,0.1,90.2871947839783,0.188288051707472,0
"46612",0.85,10,1943,0.15,115.170239801015,0.156290375283575,0
"46615",0.7,10,1943,0.3,82.977934431407,0.172736685138648,0
"46618",0.95,30,1943,0.05,112.809631434135,0.186154317969393,0
"46619",0.9,30,1943,0.1,93.9919422949725,0.184412971054313,0
"46621",0.8,30,1943,0.2,109.131802340249,0.189373456897858,0
"46622",0.75,30,1943,0.25,102.376296999406,0.166054062300169,0
"46623",0.7,30,1943,0.3,105.550363155848,0.173692754687665,0
"46625",1,75,1943,0,133.395080385343,0.144932881163977,0
"46626",0.95,75,1943,0.05,109.131802340275,0.189373456897832,0
"46627",0.9,75,1943,0.1,103.801507833177,0.211942971346294,0
"46629",0.8,75,1943,0.2,225.722218664649,0.110755601056842,0
"46630",0.75,75,1943,0.25,92.8174419288837,0.215476742133487,0
"46633",1,10,1944,0,103.801507786267,0.211942971496416,0
"46634",0.95,10,1944,0.05,81.8892609440822,0.219809042021899,0
"46635",0.9,10,1944,0.1,94.2634877619044,0.173273169933429,0
"46636",0.85,10,1944,0.15,109.058518593768,0.180331320471379,0
"46637",0.8,10,1944,0.2,109.058518593768,0.180331320471379,0
"46641",1,30,1944,0,85.0826551014768,0.215476742133487,0
"46642",0.95,30,1944,0.05,95.0261068125334,0.203452861343398,0
"46644",0.85,30,1944,0.15,138.159560953979,0.142347489604557,0
"46649",1,75,1944,0,97.7707175576905,0.180694865583837,0
"46650",0.95,75,1944,0.05,72.6908227278882,0.311822948427995,0
"46652",0.85,75,1944,0.15,109.62954549272,0.197635286813311,0
"46653",0.8,75,1944,0.2,143.007352543677,0.139852949126456,0
"46657",1,10,1945,0,91.651074131907,0.207307990440512,0
"46659",0.9,10,1945,0.1,91.6510741254065,0.207307990463314,0
"46661",0.8,10,1945,0.2,72.6722850229576,0.233926867645873,0
"46663",0.7,10,1945,0.3,83.9283968658495,0.206525252246136,0
"46664",0.65,10,1945,0.35,78.7564045457353,0.224320380908305,0
