"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"209","30-60","0-0.02",0.1,"2-3",0.893617021276596,0.106382978723404
"210","30-60","0-0.02",0.1,"3-4",0.833333333333333,0.166666666666667
"211","30-60","0-0.02",0.1,"4-5",0.869565217391304,0.130434782608696
"212","30-60","0-0.02",0.1,"5-10",0.76865671641791,0.23134328358209
"213","30-60","0-0.02",0.1,"10-20",0.564,0.436
"214","30-60","0-0.02",0.1,"20-30",0.414225941422594,0.585774058577406
"215","30-60","0-0.02",0.1,"30-40",0.322314049586777,0.677685950413223
"216","30-60","0-0.02",0.1,"40-50",0.322448979591837,0.677551020408163
"217","30-60","0-0.02",0.15,"2-3",0.773584905660377,0.226415094339623
"218","30-60","0-0.02",0.15,"3-4",0.571428571428571,0.428571428571429
"219","30-60","0-0.02",0.15,"4-5",0.862068965517241,0.137931034482759
"220","30-60","0-0.02",0.15,"5-10",0.659420289855073,0.340579710144928
"221","30-60","0-0.02",0.15,"10-20",0.533088235294118,0.466911764705882
"222","30-60","0-0.02",0.15,"20-30",0.327659574468085,0.672340425531915
"223","30-60","0-0.02",0.15,"30-40",0.270386266094421,0.729613733905579
"224","30-60","0-0.02",0.15,"40-50",0.221311475409836,0.778688524590164
"225","30-60","0-0.02",0.2,"2-3",0.882352941176471,0.117647058823529
"226","30-60","0-0.02",0.2,"3-4",0.678571428571429,0.321428571428571
"227","30-60","0-0.02",0.2,"4-5",0.428571428571429,0.571428571428571
"228","30-60","0-0.02",0.2,"5-10",0.596774193548387,0.403225806451613
"229","30-60","0-0.02",0.2,"10-20",0.36864406779661,0.63135593220339
"230","30-60","0-0.02",0.2,"20-30",0.270161290322581,0.729838709677419
"231","30-60","0-0.02",0.2,"30-40",0.2,0.8
"232","30-60","0-0.02",0.2,"40-50",0.164556962025316,0.835443037974684
"233","30-60","0-0.02",0.25,"2-3",0.807692307692308,0.192307692307692
"234","30-60","0-0.02",0.25,"3-4",0.482758620689655,0.517241379310345
"235","30-60","0-0.02",0.25,"4-5",0.806451612903226,0.193548387096774
"236","30-60","0-0.02",0.25,"5-10",0.503875968992248,0.496124031007752
"237","30-60","0-0.02",0.25,"10-20",0.302040816326531,0.697959183673469
"238","30-60","0-0.02",0.25,"20-30",0.196652719665272,0.803347280334728
"239","30-60","0-0.02",0.25,"30-40",0.172413793103448,0.827586206896552
"240","30-60","0-0.02",0.25,"40-50",0.12719298245614,0.87280701754386
