segment,quantile,val
8,0.4,685.2
8,0.41,689.56
8,0.42,695.2
8,0.43,699
8,0.44,707.04
8,0.45,714
8,0.46,721.36
8,0.47,724.84
8,0.48,743.68
8,0.49,757.76
8,0.5,790
8,0.51,802.88
8,0.52,806.32
8,0.53,809.16
8,0.54,810
8,0.55,817
8,0.56,820.32
8,0.57,823.16
8,0.58,827.76
8,0.59,832.4
8,0.6,837.2
8,0.61,838.92
8,0.62,851
8,0.63,853.72
8,0.64,855.4
8,0.65,860
8,0.66,860
8,0.67,860
8,0.68,862.88
8,0.69,864.68
8,0.7,872
8,0.71,885.12
8,0.72,886.84
8,0.73,887.56
8,0.74,888.28
8,0.75,891
8,0.76,894.88
8,0.77,904.44
8,0.78,905.32
8,0.79,911.4
8,0.8,918
8,0.81,926.96
8,0.82,930.04
8,0.83,932.52
8,0.84,934.48
8,0.85,941.2
8,0.86,943.84
8,0.87,957.8
8,0.88,969.36
8,0.89,971.16
8,0.9,974.6
8,0.91,983.52
8,0.92,989.68
8,0.93,1002.68
8,0.94,1009.68
8,0.95,1011.2
8,0.96,1022.72
8,0.97,1035.56
8,0.98,1055.12
8,0.99,1063.6
8,1,1149
9,0,341
9,0.01,385.9
9,0.02,440.96
9,0.03,455
9,0.04,461.96
9,0.05,470.95
9,0.06,482
9,0.07,488.93
9,0.08,491
9,0.09,494
9,0.1,501.8
9,0.11,506
9,0.12,512
9,0.13,519.74
9,0.14,524.86
9,0.15,531.85
9,0.16,537.52
9,0.17,546
9,0.18,550.82
9,0.19,555
9,0.2,559
9,0.21,561.58
9,0.22,568
9,0.23,575.77
9,0.24,580
9,0.25,582
9,0.26,584.74
9,0.27,589.73
9,0.28,592
9,0.29,595
9,0.3,600
9,0.31,605
9,0.32,610
9,0.33,613.34
9,0.34,617.66
9,0.35,620
9,0.36,624
9,0.37,627.63
9,0.38,631.24
9,0.39,637.44
9,0.4,640
9,0.41,643.18
9,0.42,645.58
9,0.43,648.57
9,0.44,652.56
9,0.45,658.1
9,0.46,664.54
9,0.47,678.12
9,0.48,684.52
9,0.49,690.51
9,0.5,701.5
9,0.51,715.49
9,0.52,724.48
9,0.53,728.47
9,0.54,737.38
9,0.55,748.9
9,0.56,751.44
9,0.57,760.86
9,0.58,777.52
9,0.59,788.82
9,0.6,801.2
9,0.61,806.78
9,0.62,815
9,0.63,823.85
9,0.64,844
9,0.65,850
9,0.66,854
9,0.67,855.99
9,0.68,863.32
9,0.69,866.62
9,0.7,874.3
9,0.71,878.58
9,0.72,885.28
9,0.73,888.27
9,0.74,893
9,0.75,900.75
9,0.76,905
9,0.77,914
9,0.78,919.22
9,0.79,922
9,0.8,930.2
9,0.81,938
9,0.82,945
9,0.83,948.17
9,0.84,952
9,0.85,960
9,0.86,964.14
9,0.87,970
9,0.88,972
9,0.89,976.11
9,0.9,986.1
9,0.91,991.09
9,0.92,997
9,0.93,1002.07
9,0.94,1010.06
9,0.95,1020
9,0.96,1026.04
9,0.97,1045.03
9,0.98,1052.14
9,0.99,1071.02
9,1,1180
10,0,322
10,0.01,381.21
10,0.02,440.42
10,0.03,499.63
10,0.04,517.32
10,0.05,522.9
10,0.06,528.48
10,0.07,533.89
10,0.08,539.16
10,0.09,544.43
10,0.1,548.7
10,0.11,550.87
10,0.12,553.04
10,0.13,555.21
10,0.14,557.38
10,0.15,559.55
10,0.16,561.72
10,0.17,562
10,0.18,562
10,0.19,562
10,0.2,563.4
10,0.21,565.57
10,0.22,567.74
10,0.23,570.43
10,0.24,573.84
10,0.25,577.25
10,0.26,580.9
10,0.27,585.55
10,0.28,590.2
10,0.29,594.85
10,0.3,595.3
